1.4,1.461,1.5,0.532,1.0,30,EGIL-UHOP
1.4063,1.461,1.5,0.532,1.0,24,IHIY-AVOT
1.4126,1.461,1.5,0.532,1.0,24,ACAB-IGIP
1.4189,1.461,1.5,0.532,1.0,20,EMOT-AHUQ
1.4252,1.461,1.5,0.532,1.0,20,OGOH-UPIY
1.4315,1.461,1.5,0.532,1.0,16,AMON-ILIV
1.4378,1.461,1.5,0.532,1.0,12,OSIG-UQIP
1.4441,1.461,1.5,0.532,1.0,10,AZUM-ORIT
1.4504,1.461,1.5,0.532,1.0,6,AQET-UVOF
1.4,1.461,1.5,0.532,1.0,30,40,ODIL-IMEX
1.4063,1.461,1.5,0.532,1.0,24,40,EKIX-OLOG
1.4126,1.461,1.5,0.532,1.0,24,40,ECUW-OSOY
1.4189,1.461,1.5,0.532,1.0,20,40,OTIK-UFAR
1.4252,1.461,1.5,0.532,1.0,20,40,AFUK-OJIZ
1.4315,1.461,1.5,0.532,1.0,16,40,EDAK-ULEZ
1.4378,1.461,1.5,0.532,1.0,12,40,AXEX-OLIG
1.4441,1.461,1.5,0.532,1.0,10,40,URUC-UQIT
1.4504,1.461,1.5,0.532,1.0,6,40,EFOL-IHAD
1.4441,1.461,1.5,0.532,1.0,10,40,URUC-UQIT
1.4,1.461,1.5,0.532,1.0,30,30,IHOL-UKUX
1.4063,1.461,1.5,0.532,1.0,24,30,OJED-UZES
1.4126,1.461,1.5,0.532,1.0,24,30,OSON-EPUY
1.4189,1.461,1.5,0.532,1.0,20,30,IPAR-OWAL
1.4252,1.461,1.5,0.532,1.0,20,30,EWUZ-IXIR
1.4315,1.461,1.5,0.532,1.0,16,30,ISOL-AJUZ
1.4378,1.461,1.5,0.532,1.0,12,30,IDAM-AYIB
1.4441,1.461,1.5,0.532,1.0,10,30,OROT-UQAZ
1.4504,1.461,1.5,0.532,1.0,6,30,ULIQ-OSIJ
1.4,1.461,1.5,0.532,1.0,30,30,URAD-OPIQ
1.4063,1.461,1.5,0.532,1.0,24,30,EREB-UGEK
1.4126,1.461,1.5,0.532,1.0,24,30,UHAV-IMIM
1.4189,1.461,1.5,0.532,1.0,20,30,IHIQ-ETOJ
1.4252,1.461,1.5,0.532,1.0,20,30,ATOD-EDUQ
1.4315,1.461,1.5,0.532,1.0,16,30,EPAG-EMET
1.4378,1.461,1.5,0.532,1.0,12,30,IHOB-OTOQ
1.4441,1.461,1.5,0.532,1.0,10,30,IBIT-IXAD
1.4504,1.461,1.5,0.532,1.0,6,30,AFOW-ATAP
